City_ID,City Name,Country,City Lat,City Lon,Max Temp,Wind,Date,Humidity,Cloudiness,Description
228,Naze,JP,28.3667,129.4833,16.51,4.2,1703717276,67,59,broken clouds
229,Murzuk,LY,25.9155,13.9184,12.4,3.24,1703717277,50,11,few clouds
230,Altay,CN,47.8667,88.1167,-4.5,1.64,1703717277,84,100,overcast clouds
231,Freeport,US,40.6576,-73.5832,9.45,4.12,1703717277,94,100,light rain
232,Berkane,MA,34.9084,-2.3461,7.82,1.45,1703717277,86,1,clear sky
233,Babayevo,RU,59.3936,35.9371,-18.68,1.74,1703717277,100,99,overcast clouds
234,Rāwah,IQ,34.4816,41.9093,13.96,2.18,1703717278,61,100,overcast clouds
235,Port Elizabeth,ZA,-33.918,25.5701,20.05,2.24,1703717278,88,100,overcast clouds
236,Jijiga,ET,9.35,42.8,15.83,2.39,1703717278,57,84,broken clouds
237,Ust-Nera,RU,64.5667,143.2,-40.65,1.09,1703717278,100,98,overcast clouds
238,Nuuk,GL,64.1835,-51.7216,-1.66,8.23,1703717278,54,40,scattered clouds
239,San Juan,AR,-31.5375,-68.5364,35.71,1.65,1703717124,23,3,clear sky
240,Sitka,US,57.0531,-135.33,0.82,3.3,1703717279,85,100,snow
241,Broome,US,42.2506,-75.833,10.39,4.12,1703717279,97,100,overcast clouds
242,Mazatlán,MX,23.2167,-106.4167,25.51,2.68,1703717279,62,0,clear sky
243,Kumul,CN,42.8,93.45,-6.13,1.05,1703717279,71,100,overcast clouds
244,Huarmey,PE,-10.0681,-78.1522,22.22,2.37,1703717280,83,99,overcast clouds
245,Usogorsk,RU,63.4106,48.6872,-20.49,1.33,1703717280,100,100,overcast clouds
246,Rāy,IN,23.6833,85.05,13.43,0.8,1703717280,70,0,clear sky
247,Castillos,UY,-34.1667,-53.8333,20.15,3.84,1703717280,71,6,clear sky
248,Seydi,TM,39.4816,62.9137,8.99,5.25,1703717280,54,0,clear sky
249,Aasiaat,GL,68.7098,-52.8699,-15.33,1.15,1703717281,76,100,overcast clouds
250,Salahonda,CO,2.1019,-78.7217,25.8,6.04,1703717281,89,57,broken clouds
251,Kapuskasing,CA,49.4169,-82.4331,-0.95,1.54,1703717281,86,100,overcast clouds
252,San Patricio,US,28.017,-97.5169,22.97,3.29,1703717281,33,2,clear sky
253,Alofi,NU,-19.0595,-169.9187,27.94,7.2,1703717281,65,100,overcast clouds
254,Sidi Ifni,MA,29.3797,-10.173,17.18,2.34,1703717282,41,1,clear sky
255,Milas,TR,37.3164,27.7839,15.26,1.54,1703717282,100,0,clear sky
256,Yŏnan-ŭp,KP,37.9089,126.1611,-0.4,1.35,1703717282,59,2,clear sky
257,Trujillo,PE,-8.116,-79.03,21.98,3.09,1703717282,88,100,overcast clouds
